Tracking Number,Updates
772695482922,16/03/2025 05:22AM - Clearance Delay - Clearance delay at MEMPHIS
772695249582,16/03/2025 05:31PM - On the way - At destination sort facility at SEATTLE
772678049014,17/03/2025 12:26AM - On the way - Departed FedEx location at NEWARK
772678902320,17/03/2025 01:09AM - On the way - At destination sort facility at CHICAGO
772693413920,16/03/2025 05:38PM - On the way - At destination sort facility at LOS ANGELES
772680870754,15/03/2025 09:24AM - On the way - At FedEx destination facility at POMPANO BEACH
772080172020,15/03/2025 02:01AM - On the way - Departed FedEx location at ROISSY CHARLES DE GAULLE CEDEX
772424111360,17/03/2025 12:11PM - Delivered - Delivered at TSIM SHA TSUI
772424124691,17/03/2025 12:11PM - Delivered - Delivered at TSIM SHA TSUI
772424138297,17/03/2025 12:11PM - Delivered - Delivered at TSIM SHA TSUI
772424161593,17/03/2025 12:11PM - Delivered - Delivered at TSIM SHA TSUI
772515529464,14/03/2025 02:07PM - Delivered - Delivered at MIAMI
772626711744,14/03/2025 01:09PM - Delivered - Delivered at BRAMPTON
772682072195,15/03/2025 03:56PM - Delivered - Delivered at MONGKOK
772682312842,14/03/2025 01:07PM - Delivered - Delivered at NORFOLK
772679514888,17/03/2025 01:31PM - On the way - International shipment release at SEPANG
772654584847,16/03/2025 01:03AM - On the way - At destination sort facility at LOS ANGELES
772681441606,14/03/2025 09:47AM - Delivered - Delivered at CHICAGO
772682182100,14/03/2025 12:16PM - Ready for pickup - Ready for pickup at FARMINGTON
772681804429,15/03/2025 03:10PM - Delivered - Delivered at AUBURN HILLS - Details: Delivered to recipient at FedEx Office
772681818609,14/03/2025 07:57PM - Delivery updated - Clearance in progress at MEMPHIS
772681849858,14/03/2025 10:35AM - Delivered - Delivered at PARKER - Details: Delivered to recipient at FedEx Office
772655588805,17/03/2025 12:13PM - Delivered - Delivered at KOBE-SHI HIGASHINADA-KU
772710319027,15/03/2025 05:38AM - On the way - At destination sort facility at LAS VEGAS
772710178260,17/03/2025 07:22AM - Out for delivery - On FedEx vehicle for delivery at HALLBERGMOOS
772712693082,17/03/2025 06:04AM - Out for delivery - On FedEx vehicle for delivery at AYLESFORD
772713147903,17/03/2025 06:47AM - On the way - At FedEx destination facility at BELLSHILL
9612375522,17/03/2025 12:23AM - Shipment has departed from a DHL facility CINCINNATI HUB - USA at CINCINNATI HUB - Ohio - USA - The shipment is on its way to the destination.
7111789845,15/03/2025 01:33PM - Delivered at SINGAPORE - SINGAPORE - N/A
772517554858,17/03/2025 06:53AM - On the way - On the way at SEPANG - Details: Package available for clearance
8163245366,17/03/2025 11:09AM - Delivered at SINGAPORE - SINGAPORE - N/A
772711674724,17/03/2025 01:27PM - Delivered - Delivered at ORCHARD
772711728095,17/03/2025 09:41AM - Delivered - Delivered at SINGAPORE
772711967444,17/03/2025 11:44AM - Delivered - Delivered at SINGAPORE
772712436600,17/03/2025 12:11PM - Delivered - Delivered at SINGAPORE
772713851467,17/03/2025 11:44AM - Delivered - Delivered at SINGAPORE
772714161042,17/03/2025 01:27PM - Delivered - Delivered at ORCHARD
772709224280,17/03/2025 07:09AM - On the way - International shipment release at SINGAPORE
772685549774,17/03/2025 01:19PM - Delivered - Delivered at KOWLOON BAY
772711523249,17/03/2025 11:04AM - Delivered - Delivered at SINGAPORE
772711997458,17/03/2025 09:29AM - Clearance Delay - Clearance delay at SINGAPORE - Details: Shipment documentation indicates value discrepancy. Correct value of shipment is required.
772724026244,16/03/2025 01:05PM - On the way - On the way at MEMPHIS - Details: Package available for clearance
772722207951,16/03/2025 08:41AM - On the way - On the way at MEMPHIS - Details: Package available for clearance
731780350821,17/03/2025 11:12AM - Delivered - Delivered at SINGAPORE
772710685920,17/03/2025 11:12AM - Delivered - Delivered at SINGAPORE
772711290877,17/03/2025 06:57AM - Out for delivery - On FedEx vehicle for delivery at SINGAPORE
772712290586,17/03/2025 12:11PM - Delivered - Delivered at SAI YING PUN
772680660703,15/03/2025 12:12PM - Delivered - Delivered at SINGAPORE
772713077844,17/03/2025 06:01AM - On the way - International shipment release at STANSTED
